,DATE,AIR_SYSTEM_DELAY,AIR_SYSTEM_DELAY_COST,INBOUND FLIGHTS,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,OUTBOUND FLIGHTS,GATE_REVENUE,SECURITY_DELAY_COST,AIRLINE_DELAY_REVENUE,PROFIT
37,2/7/2015,136.0,3848.8,754.0,45.0,791.0,121.0,15.0,746.0,3800265.7399999998,2228.4,33577.950000000004,3827766.49
38,2/8/2015,355.0,10046.5,945.0,0.0,1450.0,257.0,186.0,931.0,4742690.89,0.0,61552.5,4794196.89
39,2/9/2015,1459.0,41289.700000000004,997.0,0.0,5462.0,2629.0,827.0,1011.0,5150226.09,0.0,231861.90000000002,5340798.29
40,2/10/2015,485.0,13725.5,956.0,0.0,1892.0,555.0,0.0,960.0,4890422.399999999,0.0,80315.40000000001,4957012.3
41,2/11/2015,366.0,10357.800000000001,998.0,0.0,1493.0,519.0,0.0,999.0,5089095.81,0.0,63377.850000000006,5142115.859999999
42,2/12/2015,980.0,27734.0,1027.0,0.0,2418.0,1295.0,0.0,1029.0,5241921.51,0.0,102644.1,5316831.609999999
43,2/13/2015,469.0,13272.7,1055.0,10.0,3207.0,1455.0,48.0,1069.0,5445689.109999999,495.20000000000005,136137.15000000002,5568058.359999999
44,2/14/2015,939.0,26573.7,729.0,0.0,2014.0,891.0,113.0,695.0,3540462.05,0.0,85494.3,3599382.6499999994
45,2/15/2015,314.0,8886.2,808.0,0.0,1509.0,619.0,196.0,836.0,4258742.84,0.0,64057.05,4313913.6899999995
46,2/16/2015,5135.0,145320.5,997.0,0.0,7253.0,5711.0,2043.0,987.0,5027965.529999999,0.0,307889.85000000003,5190534.879999999
47,2/17/2015,3484.0,98597.2,992.0,0.0,7579.0,6386.0,410.0,1029.0,5241921.51,0.0,321728.55000000005,5465052.859999999
48,2/18/2015,2449.0,69306.7,1040.0,0.0,4468.0,4475.0,260.0,1038.0,5287769.22,0.0,189666.6,5408129.119999999
49,2/19/2015,545.0,15423.5,1056.0,0.0,4964.0,2344.0,995.0,1057.0,5384558.829999999,0.0,210721.80000000002,5579857.129999999
50,2/20/2015,1471.0,41629.3,1049.0,0.0,3982.0,2226.0,1727.0,1050.0,5348899.5,0.0,169035.90000000002,5476306.100000001
51,2/21/2015,2516.0,71202.8,760.0,0.0,3128.0,1013.0,2366.0,754.0,3841019.26,0.0,132783.6,3902600.06
52,2/22/2015,2629.0,74400.7,964.0,0.0,6833.0,4991.0,657.0,972.0,4951552.68,0.0,290060.85000000003,5167212.829999999
53,2/23/2015,1451.0,41063.3,1023.0,0.0,4879.0,2898.0,149.0,1027.0,5231733.13,0.0,207113.55000000002,5397783.38
54,2/24/2015,13923.0,394020.9,898.0,0.0,8673.0,19942.0,4321.0,897.0,4569488.43,0.0,368168.85000000003,4543636.379999999
55,2/25/2015,6304.0,178403.2,770.0,0.0,5392.0,4503.0,6688.0,787.0,4009127.53,0.0,228890.40000000002,4059614.7299999995
56,2/26/2015,3965.0,112209.5,984.0,0.0,4438.0,3948.0,418.0,982.0,5002494.579999999,0.0,188393.1,5078678.179999999
57,2/27/2015,1798.0,50883.4,1053.0,0.0,3095.0,1297.0,37.0,1051.0,5353993.6899999995,0.0,131382.75,5434493.039999999
58,2/28/2015,1219.0,34497.700000000004,783.0,0.0,2667.0,810.0,35.0,781.0,3978562.3899999997,0.0,113214.15000000001,4057278.8399999994
59,3/1/2015,5366.0,151857.80000000002,961.0,0.0,8145.0,4587.0,2434.0,952.0,4849668.88,0.0,345755.25,5043566.33
60,3/2/2015,1422.0,40242.6,1066.0,0.0,5599.0,4417.0,156.0,1080.0,5501725.199999999,0.0,237677.55000000002,5699160.149999999
61,3/3/2015,4402.0,124576.6,1054.0,0.0,5796.0,5864.0,545.0,1048.0,5338711.119999999,0.0,246040.2,5460174.72
62,3/4/2015,2887.0,81702.1,1051.0,0.0,4956.0,4440.0,2062.0,1039.0,5292863.409999999,0.0,210382.2,5421543.51
63,3/5/2015,5741.0,162470.30000000002,982.0,8.0,10355.0,7438.0,1675.0,1003.0,5109472.569999999,396.16,439569.75,5386175.859999999
64,3/6/2015,1903.0,53854.9,1073.0,0.0,6653.0,4599.0,236.0,1090.0,5552667.1,0.0,282419.85000000003,5781232.049999999
65,3/7/2015,594.0,16810.2,923.0,0.0,2637.0,1096.0,37.0,916.0,4666278.04,0.0,111940.65000000001,4761408.49
66,3/8/2015,506.0,14319.800000000001,1050.0,0.0,4463.0,1553.0,588.0,1055.0,5374370.449999999,0.0,189454.35,5549504.999999999
67,3/9/2015,601.0,17008.3,1084.0,0.0,4610.0,2657.0,4.0,1087.0,5537384.529999999,0.0,195694.5,5716070.7299999995
68,3/10/2015,651.0,18423.300000000003,1074.0,0.0,2148.0,1207.0,3144.0,1068.0,5440594.92,0.0,91182.6,5513354.22
